month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2026/05/01 04:00:00+00,Weekday,20,Blue Line,1083809,54190,1
2026/05/01 04:00:00+00,Weekday,20,Orange Line,2948348,147417,2
2026/05/01 04:00:00+00,Weekday,20,Red Line,3171339,158567,3
2026/05/01 04:00:00+00,Weekday,20,Heavy Rail,7203496,360175,4
2026/05/01 04:00:00+00,Weekday,20,Green Line,2464060,123203,5
2026/05/01 04:00:00+00,Weekday,20,Mattapan Line,52986,2649,6
2026/05/01 04:00:00+00,Weekday,20,Light Rail,2517047,125852,7
2026/05/01 04:00:00+00,Weekday,20,Silver Line,686348,34317,8
2026/05/01 04:00:00+00,Weekday,20,Bus,6017156,300858,9
2026/05/01 04:00:00+00,Weekday,20,All Bus,6703504,335175,10
2026/05/01 04:00:00+00,Saturday,5,Blue Line,169991,33998,11
2026/05/01 04:00:00+00,Saturday,5,Orange Line,482795,96559,12
2026/05/01 04:00:00+00,Saturday,5,Red Line,487871,97574,13
2026/05/01 04:00:00+00,Saturday,5,Heavy Rail,1140657,228131,14
2026/05/01 04:00:00+00,Saturday,5,Green Line,512703,102541,15
2026/05/01 04:00:00+00,Saturday,5,Mattapan Line,4888,978,16
2026/05/01 04:00:00+00,Saturday,5,Light Rail,517591,103518,17
2026/05/01 04:00:00+00,Saturday,5,Silver Line,114183,22837,18
2026/05/01 04:00:00+00,Saturday,5,Bus,875792,175158,19
2026/05/01 04:00:00+00,Saturday,5,All Bus,989975,197995,20
2026/05/01 04:00:00+00,Sunday,6,Blue Line,168299,28050,21
2026/05/01 04:00:00+00,Sunday,6,Orange Line,452834,75472,22
2026/05/01 04:00:00+00,Sunday,6,Red Line,471115,78519,23
2026/05/01 04:00:00+00,Sunday,6,Heavy Rail,1092247,182041,24
2026/05/01 04:00:00+00,Sunday,6,Green Line,481096,80183,25
2026/05/01 04:00:00+00,Sunday,6,Mattapan Line,5162,860,26
2026/05/01 04:00:00+00,Sunday,6,Light Rail,486258,81043,27
2026/05/01 04:00:00+00,Sunday,6,Silver Line,125959,20993,28
2026/05/01 04:00:00+00,Sunday,6,Bus,796161,132694,29
2026/05/01 04:00:00+00,Sunday,6,All Bus,922120,153687,30
2026/05/01 04:00:00+00,Total,31,Blue Line,1422099,45874,31
2026/05/01 04:00:00+00,Total,31,Orange Line,3883977,125290,32
2026/05/01 04:00:00+00,Total,31,Red Line,4130324,133236,33
2026/05/01 04:00:00+00,Total,31,Heavy Rail,9436400,304400,34
2026/05/01 04:00:00+00,Total,31,Green Line,3457859,111544,35
2026/05/01 04:00:00+00,Total,31,Mattapan Line,63036,2033,36
2026/05/01 04:00:00+00,Total,31,Light Rail,3520896,113577,37
2026/05/01 04:00:00+00,Total,31,Silver Line,926490,29887,38
2026/05/01 04:00:00+00,Total,31,Bus,7689109,248036,39
2026/05/01 04:00:00+00,Total,31,All Bus,8615599,277923,40
